"CustomerID","OrderID","OrderAmount","OrderDate"
1,620616,1101.75881235278,"11/09/20"
2,466081,1508.56215799653,"03/21/17"
2,176361,3479.91636131579,"06/30/18"
2,714553,3057.82228274094,"06/13/22"
2,422854,943.341953831611,"07/22/23"
3,332930,3277.67361858157,"01/15/20"
3,392253,3243.99635325404,"12/14/15"
4,719055,2959.42913989161,"09/04/21"
4,621658,1428.37164344392,"01/15/18"
5,934874,3709.02261884048,"04/10/22"
6,595916,2956.33767834089,"02/03/22"
6,838096,2755.75136695985,"09/14/16"
6,952050,4792.14697391071,"02/04/20"
6,570435,3656.05696078411,"01/20/23"
7,702801,553.864866951699,"06/01/20"
7,500890,513.076441595617,"09/18/17"
8,821755,3105.12925594816,"06/14/19"
8,191176,1285.9081919063,"03/19/23"
8,896883,1099.72086211904,"11/11/21"
8,896710,1076.42464868732,"05/18/15"
9,105039,4564.72459738239,"12/26/22"
9,634730,2348.80853132442,"07/27/16"
9,389730,1155.18746877451,"08/31/18"
9,838464,3397.07117613059,"03/09/15"
9,505841,1923.78191994357,"04/27/19"
9,216214,4208.60998583082,"07/22/14"
9,781509,1978.09277424679,"09/08/21"
9,498499,4670.28148985053,"10/06/23"
10,182409,2194.72868674812,"04/22/20"
10,798876,2963.79965781139,"11/28/17"
11,511473,3958.19643108643,"08/23/19"
11,987553,3188.21137533517,"06/25/16"
12,959665,4141.24186300034,"05/24/23"
12,730421,3946.97879906897,"02/02/20"
13,566755,1129.14381262978,"07/01/14"
13,238368,3845.75956756997,"03/08/20"
13,113261,156.313119160765,"01/05/15"
13,468760,1375.15933012762,"10/13/16"
13,393925,648.215021090707,"09/27/21"
14,409550,3457.15811838497,"08/25/19"
14,444866,4048.63820982738,"10/05/22"
15,526044,1833.56687780854,"02/11/18"
15,900819,4375.91543247949,"05/01/20"
15,867286,1158.69456959936,"10/03/23"
16,504303,4393.96522239733,"08/19/16"
16,224116,4527.4363728194,"11/01/22"
17,526070,4205.75103677384,"03/27/20"
17,622710,2363.03305824804,"03/05/17"
17,999485,2252.13194612361,"07/12/21"
17,938357,1550.12015540742,"10/21/15"
17,979854,3400.86254562705,"02/01/14"
18,275121,1554.25474189727,"11/27/23"
18,571797,509.41625380238,"05/26/16"
18,469360,2129.58453530197,"04/18/19"
19,472251,1623.91222419013,"12/26/18"
19,886086,382.887580203074,"04/21/14"
19,803221,1411.24391442237,"10/04/21"
19,407086,3772.01321872568,"07/30/22"
19,679223,3119.87238103605,"05/20/17"
20,370784,1097.96897508616,"03/27/20"
20,785409,2118.5946656671,"02/14/17"
20,811413,2919.50599770213,"03/24/18"
20,825084,2709.26992543831,"03/06/15"
20,788332,3513.47362896521,"12/10/21"
20,522132,674.299137833144,"11/17/16"
21,261081,2588.24481339802,"02/25/17"
21,453076,3904.79758298999,"03/15/16"
22,278969,1341.0346792613,"05/10/17"
22,595413,3644.87394553907,"09/14/15"
22,151831,3787.927640952,"08/20/19"
22,526488,4383.43634256943,"05/18/23"
22,389192,2476.96383389975,"12/17/20"
23,218696,4424.5433961845,"12/22/21"
23,104994,165.501647971039,"04/23/15"
24,307139,4254.84663044041,"11/05/18"
24,851731,3276.75823651527,"05/27/19"
24,661836,2307.34500020592,"02/03/14"
24,892908,4038.69127144789,"09/17/20"
24,626670,1234.58733622874,"03/29/17"
25,646298,1910.46147675376,"11/28/14"
25,758250,3317.97447513588,"09/23/17"
25,209162,4653.51317108409,"11/17/15"
25,427069,1166.57025794463,"01/31/18"
26,345144,2946.97395753804,"08/21/19"
26,295784,2960.19657988368,"03/18/18"
26,431119,3783.56026273962,"05/09/16"
26,201158,3419.61973263502,"09/29/23"
26,963731,787.590139148223,"03/31/15"
27,223099,2014.70024641522,"06/20/15"
28,297097,2936.15309710851,"05/09/22"
28,388213,3815.50973107469,"06/24/19"
29,631147,3649.28759101474,"01/27/22"
29,735274,1020.80986599508,"03/03/17"
29,389360,2964.87364181254,"03/09/15"
30,307352,1393.90372499922,"01/27/18"
30,545093,3766.34087352629,"03/25/22"
30,909020,1690.10782085918,"12/31/19"
31,517247,3828.17152156083,"03/02/14"
31,474743,533.086240224142,"02/09/21"
32,967196,4408.01028574611,"05/04/19"
32,564462,2830.95213090774,"10/20/15"
32,791319,4304.78993183041,"10/04/16"
33,482865,4239.86960400062,"11/01/17"
33,281429,3563.50549332465,"10/10/15"
34,543842,4988.37865727057,"07/11/23"
34,277826,2898.69526324957,"10/20/15"
34,422959,2114.83843817347,"06/02/14"
35,214589,1632.61214713073,"08/22/21"
35,293839,1629.76220426626,"05/27/23"
35,606453,170.469085753217,"09/29/15"
35,929901,4591.35617804781,"12/02/19"
35,545872,3835.2828600547,"05/15/18"
36,961756,3227.77897497995,"06/21/17"
36,501426,2267.23964671056,"01/29/14"
36,622313,778.333917314032,"05/17/21"
37,301604,4978.59243654453,"08/30/18"
38,638314,4751.08339658637,"12/10/16"
38,393052,3406.45288062031,"08/17/18"
38,277718,4331.84296435342,"10/14/20"
39,591006,4873.8135053093,"10/31/15"
40,685457,3372.02689885545,"02/04/18"
40,997116,4748.84753623358,"01/03/22"
40,349265,193.8098531845,"12/29/15"
40,314127,222.33448838828,"07/15/21"
40,303834,3528.2338911484,"04/04/20"
40,186795,2328.87496973405,"11/25/17"
40,759987,4808.50871995124,"11/05/14"
41,774533,3248.63029058581,"05/16/17"
41,910421,2957.63494095778,"07/24/23"
42,722288,3073.55008214668,"09/08/14"
42,588051,1306.8014921716,"05/28/22"
42,125517,3329.32250964794,"12/13/15"
42,315558,2557.72092959795,"12/14/20"
43,313456,3150.88961463342,"09/12/17"
43,508376,2378.5466358795,"12/01/15"
43,240148,405.730936131558,"06/26/19"
43,417715,1802.78470388339,"05/06/22"
43,490452,4879.18135404745,"09/08/16"
43,440912,3379.61218489321,"05/12/14"
43,303561,4696.02963402608,"02/20/23"
44,300753,1415.95462052285,"04/04/14"
44,735785,466.623905455368,"11/07/19"
44,352388,2696.41817933378,"08/09/23"
44,943556,3820.53328390052,"12/01/18"
44,846055,2254.72838388875,"12/01/21"
45,603323,1841.06676752205,"01/21/22"
45,813340,1582.14724292284,"07/25/14"
45,235203,1131.48400436018,"04/02/17"
45,897781,4501.36651337085,"12/22/15"
46,855675,3124.37214880171,"06/23/18"
46,897124,2444.63096965421,"07/09/14"
46,265129,2576.99292591033,"11/09/17"
46,253837,1627.2801597237,"01/03/16"
46,971535,953.79266806236,"12/28/23"
47,745303,1882.66724159057,"06/18/17"
47,324021,3652.52977386568,"01/25/18"
47,395599,2781.46385006115,"03/10/19"
47,416363,3907.54149969361,"07/13/16"
47,711726,1076.30517660074,"03/26/21"
47,269934,2736.31125628312,"07/27/15"
47,186694,2856.52048623793,"02/19/23"
47,201407,4458.64462411444,"02/02/22"
48,630875,1870.87851742921,"11/13/16"
48,853890,4018.61777673173,"06/20/19"
48,897583,1708.34221782386,"05/10/21"
48,669027,2139.11230143897,"04/12/20"
49,626169,4361.06980412641,"02/05/20"
49,907221,1226.15095640833,"11/04/15"
49,838854,4668.3815153215,"07/19/17"
50,369045,4145.98366264727,"10/29/15"
50,370741,3058.86981444736,"03/19/14"
50,950341,4852.63997419144,"11/18/22"
50,425437,800.705501062059,"01/15/20"
51,220062,1754.48157979625,"12/16/15"
51,775160,223.662994656495,"05/12/18"
51,978878,1169.21691930564,"08/27/19"
52,889417,3983.71458472476,"10/08/15"
52,665523,1944.99841016756,"03/06/16"
52,624624,845.03798038001,"05/19/18"
52,407680,2816.25362426769,"09/27/14"
53,191911,4630.16009678631,"08/17/23"
53,822030,4551.32930420894,"07/21/17"
53,321094,131.532536334299,"05/22/20"
54,794879,1941.44457764582,"04/11/17"
54,589709,4155.00995614283,"05/19/18"
55,394067,2598.28464679724,"06/18/15"
55,335998,704.663994507422,"04/10/19"
56,375553,1155.953718451,"11/08/15"
56,398783,343.110429360303,"11/16/18"
57,676553,2021.25852683241,"11/24/18"
57,259882,2885.47800268891,"12/22/15"
58,596005,1892.84046682871,"03/08/17"
59,585514,1533.33048483363,"12/02/15"
59,848692,4811.31239041315,"11/26/17"
59,715486,303.345919197089,"02/17/20"
60,178116,4435.79007671042,"12/04/23"
60,328931,1817.02492504997,"08/20/22"
61,985987,3151.17875065401,"11/04/20"
61,609421,3992.95600748218,"05/26/16"
61,327579,1765.86213258692,"07/27/23"
61,452103,1634.49968896591,"05/27/19"
61,825787,1379.13777855076,"06/02/21"
62,485946,552.566587745755,"10/07/22"
62,930351,3579.64993876623,"05/20/16"
63,155805,394.472410853034,"06/01/23"
63,961465,3272.83067773248,"01/22/17"
64,292971,4338.31676506449,"09/11/20"
64,918731,2114.86769552447,"03/06/17"
64,368449,4295.04924516734,"08/07/14"
64,440401,4488.25795584601,"03/14/19"
65,386073,3058.60526045257,"06/11/16"
65,522739,4171.65093816984,"05/11/18"
65,177525,949.380959578876,"03/11/22"
66,778936,905.587092486506,"08/14/23"
66,649752,2011.58914997286,"09/04/22"
67,954741,2663.40080141611,"03/10/18"
67,929378,2113.19975001843,"04/18/23"
67,241449,1701.29405870311,"04/20/22"
67,395920,505.396794155987,"11/25/15"
67,235370,4024.80543197649,"04/14/21"
68,510184,4488.92001967692,"05/22/17"
68,326817,3720.44671795186,"03/07/19"
68,102866,3327.71642976241,"05/15/14"
68,380539,1193.00410155951,"07/19/15"
68,366150,945.366997037174,"06/05/21"
69,450164,1276.34662838908,"03/21/18"
69,194881,346.712682149831,"09/07/20"
70,915864,2930.39559628767,"03/29/15"
70,434517,4498.94347589765,"11/01/21"
71,228652,514.972875189003,"08/30/17"
71,702960,1855.8398176912,"03/29/20"
71,317516,4220.45268097424,"11/21/15"
71,303117,995.094682774374,"06/22/21"
71,935655,4061.18812057909,"12/24/23"
71,689621,3833.22969812598,"01/18/18"
71,149420,2349.70771410474,"08/11/16"
71,371604,1100.80911866962,"10/22/22"
72,144036,1627.83047108327,"11/06/16"
72,170021,889.9721786781,"08/08/22"
72,785503,3134.27125706255,"08/23/17"
72,437283,2854.72517421617,"09/05/20"
73,847410,1234.25246997364,"02/22/15"
73,961858,2075.71800505294,"01/16/18"
73,735311,329.250640361666,"11/21/14"
74,279001,2735.13638023275,"04/23/17"
74,200260,443.529884242159,"07/04/19"
74,802461,990.716449365073,"12/27/18"
74,419674,242.860411508236,"01/08/23"
74,196143,305.384561909662,"02/21/22"
75,412257,4442.29068343379,"11/11/22"
75,158219,4590.46066820712,"08/30/17"
76,924516,3926.72293185773,"09/03/14"
76,247878,3684.33267381138,"07/05/20"
76,137034,4478.61347360564,"10/15/17"
77,927679,2225.47577348829,"04/03/17"
77,674887,2782.61030032536,"04/16/16"
78,234794,3592.94537971868,"01/14/14"
78,795391,4832.16132811676,"05/27/21"
78,683107,1246.0949642138,"04/29/20"
78,928370,1794.44988221108,"07/23/23"
78,936309,4120.0914192692,"05/21/16"
79,679074,4988.35182903179,"04/25/20"
79,452854,2352.2890163319,"06/02/15"
79,425137,689.899136066536,"02/27/18"
80,397843,2777.64685446781,"06/07/21"
80,964285,3903.82333982814,"11/07/17"
80,659073,937.588371862157,"05/14/14"
80,856079,2267.03615494584,"06/13/19"
81,763667,1744.55403759177,"10/02/16"
81,732585,1245.68288215601,"07/03/17"
82,780913,348.050114118463,"03/18/16"
82,465898,2158.01996299888,"11/21/20"
83,179211,1637.16190905512,"02/14/19"
83,403342,297.264214745237,"07/26/14"
83,525659,2048.65363072197,"02/08/20"
84,918438,746.630066157413,"11/15/23"
84,374349,1052.79345771527,"01/23/14"
84,866843,2187.99406596593,"03/15/17"
84,478621,900.34957563638,"08/30/18"
85,456427,1507.90091089362,"06/03/16"
85,980278,1134.51711853438,"08/26/23"
85,215657,3347.70174362764,"01/06/19"
86,496308,4046.61841356993,"08/10/21"
87,141743,939.345293326185,"11/07/19"
87,993877,269.896250707725,"03/27/16"
87,378572,1753.90908283071,"06/27/21"
87,601793,1047.83318048676,"09/17/15"
87,731613,4882.560223141,"08/09/23"
88,769221,1278.60476738273,"02/08/15"
88,188302,3973.5505003312,"05/23/18"
89,628036,501.916057536207,"08/23/20"
89,216547,1426.15531571065,"07/23/18"
89,851393,247.104527530452,"11/25/16"
